File name,Role type,Shengqiang,Banshi,Couplet line,Lyrics line,Start,End,Tones,1 section,,,2 section,,,3 section,,
daeh-NaRiFeng-YuanXiaoMi.xml,dan,erhuang,yuanban,x,那厢流泪这厢啼。,117,125.5,4124412,那厢,117,118.5,流泪,119,120.75,这厢啼。,121,125.5
daeh-NaRiFeng-YuanXiaoMi.xml,dan,erhuang,yuanban,s2,我今绝少人生趣，,127,145.5,3123214,我今,127,129,绝少,129.5,130.5,人生趣，,131,145.5
daeh-NaRiFeng-YuanXiaoMi.xml,dan,erhuang,yuanban,x,不如早死命归西。,165,183,4233411,不如,165,169,早死,169.5,170.75,命归西。,171,183
daeh-NuZiYou-TouJunBieYao.xml,dan,erhuang,manban,s1,奴自幼在闺阁娇生惯养，,0,41,2444121143,奴自幼,0,4.5,在闺阁,8,16,娇生惯养，,17,41
daeh-NuZiYou-TouJunBieYao.xml,dan,erhuang,manban,x,为薛郎我父女断绝情长。,42,78,2123434223,为薛郎,42,49,我父女,51,53.5,断绝情长。,54,78
daeh-NuZiYou-TouJunBieYao.xml,dan,erhuang,manban,s1,但愿得去投军功名有望，,79,120,4424211234,但愿得,79,83,去投军,87,95,功名有望，,96,120
daeh-NuZiYou-TouJunBieYao.xml,dan,erhuang,manban,x,也不枉我二人苦度时光。,121,149,3433423421,也不枉,121,128,我二人,130,132.5,苦度时光。,133,149
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,s1,孙尚香坐宫院自思自叹，,0,41,1414144144,孙尚香,0,4.5,坐宫院,8,16,自思自叹，,17,41
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,x,想起了已往事心内痛酸。,42,78,3333341441,想起了,42,49,已往事,51,53,心内痛酸。,54,78
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,s1,遭不幸父王爷把驾来晏，,79,124,1244223424,遭不幸,79,83,父王爷,87,95,把驾来晏，,96,124
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,x,留下了孙仲谋执掌江南。,125,146.5,2451422312,留下了,125,132,孙仲谋,134,136,执掌江南。,137,146.5
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,s2,与周郎定巧计把皇叔来骗，,149,165,31243432124,与周郎,149,152,定巧计把,154,156.75,皇叔来骗，,157,165
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,x,又谁知弄假成真反配凤鸾。,169,186.5,42143213442,又谁知,169,172,弄假成真,173,176.75,反配凤鸾。,177,186.5
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,s2,回荆州未三载诓我回转，,189,205,2114131323,回荆州,189,192,未三载,194,196,诓我回转，,197,205
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,x,阿斗儿行中途被子龙追还。,209,226.5,14521243212,阿斗儿,209,212,行中途被,214,216.5,子龙追还。,217,226.5
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,s2,恨只恨我兄长把事错办，,229,245,4343133444,恨只恨,229,232,我兄长,234,236,把事错办，,237,245
daeh-SunShangXiang-BieHuangGong.xml,dan,erhuang,manban,x,叹一声不由人珠泪涟涟。,249,273,4414221422,叹一声,249,252,不由人,254,256,珠泪涟涟。,257,273
daeh-TanHongYan-HuoXiaoYu.xml,dan,erhuang,manban,s1,叹红颜薄命前生就，,32,75.75,42224214,叹红颜,32,37,薄命,40,49,前生就，,64,75.75
daeh-TanHongYan-HuoXiaoYu.xml,dan,erhuang,manban,x,美满姻缘付东流。,76,105,3312412,美满,76,79.5,姻缘,81,83.75,付东流。,84,105
daeh-TanHongYan-HuoXiaoYu.xml,dan,erhuang,manban,s1,薄幸冤家音信无有，,124,164,24111423,薄幸,124,129,冤家,132,141,音信无有，,156,164
daeh-TanHongYan-HuoXiaoYu.xml,dan,erhuang,manban,x,啼花泣月在暗里（呀）添愁。,168,182.5,214444312,啼花,168,169.75,泣月在,170,171.5,暗里（呀）添愁。,172,182.5
daeh-TanHongYan-HuoXiaoYu.xml,dan,erhuang,manban,s2,枕边泪（呀）共（那）阶前雨，,184,221,3144123,枕边泪（呀）,184,186.25,共（那）,189,191.75,阶前雨，,192,221
daeh-TanHongYan-HuoXiaoYu.xml,dan,erhuang,manban,x,隔着窗儿点滴不休。,236,260,25153141,隔着,236,243.5,窗儿,245,247.75,点滴不休。,248,260
daeh-WangChunE-SanNiangJiaoZi.xml,dan,erhuang,manban,s1,王春娥坐草堂自思自叹，,36,92,2124324144,王春娥,36,40,坐草堂,44,53,自思自叹，,68,92
daeh-WangChunE-SanNiangJiaoZi.xml,dan,erhuang,manban,x,想起了我老爷好不惨然。,112,149,3333323432,想起了,112,119,我老爷,121,123.5,好不惨然。,124,149
daeh-WangChunE-SanNiangJiaoZi.xml,dan,erhuang,manban,s1,春娥女好一此失群孤雁，,164,201,1233231214,春娥女,164,168,好一此,172,181,失群孤雁，,192,201
daeh-WangChunE-SanNiangJiaoZi.xml,dan,erhuang,manban,x,老薛保好一似浪里舟船。,204,221.5,3133244312,老薛保,204,207,好一似,209,211,浪里舟船。,212,221.5
daeh-WangChunE-SanNiangJiaoZi.xml,dan,erhuang,manban,s2,薛倚儿他好比无弓之箭，,224,240,1351332114,薛倚儿,224,227,他好比,229,231,无弓之箭，,232,240
daeh-WangChunE-SanNiangJiaoZi.xml,dan,erhuang,manban,x,每日里在书房苦读圣贤。,244,261.5,3434123242,每日里,244,247,在书房,249,251.5,苦读圣贤。,252,261.5
daeh-WangChunE-SanNiangJiaoZi.xml,dan,erhuang,manban,s2,将身儿来至在机房织绢，,264,296,1152441214,将身儿,264,267,来至在,269,271,机房织绢，,272,296
daeh-WangChunE-SanNiangJiaoZi.xml,dan,erhuang,manban,x,等候了薛倚儿转回家园。,332,355,3431323212,等候了,332,339,薛倚儿,341,343.5,转回家园。,344,355
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,s1,未开言思往事心中惆怅，,36,94.5,4121341124,未开言,36,40.5,思往事,44,53,心中惆怅，,68,92.5
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,x,禁大娘你容我表叙衷肠。,112,150.5,4423233412,禁大娘,112,119,你容我,121,123,表叙衷肠。,124,148.5
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,s1,实可恨张驴儿良心昧丧，,164,232.5,2341252144,实可恨,164,168.5,张驴儿,172,180.5,良心昧丧，,196,232.5
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,x,买羊肚要害婆婆一命身亡。,268,292,32344252412,买羊肚,268,275,要害婆婆,276.5,278.75,一命身亡。,280,291.5
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,s2,害人者反害己徒劳妄想，,292,308.75,4233432244,害人者,292,294.5,反害己,297,299,徒劳妄想，,300,308
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,x,他的（呀）母吃羊肚霎时断肠。,312,329.5,1331234242,他的（呀）母,312,315,吃羊肚,317,319.5,霎时断肠。,320,329
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,s2,狗奸贼仗强暴出言无状，,332,352,312424124,狗奸贼,332,334.5,仗强暴,337,339,出言无状，,340,348
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,x,他把我老婆婆扭到公堂。,352,369.5,1333253412,他把我,352,355,老婆婆,357,359.5,扭到公堂。,360,369
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,s1,不招认实难受无情拶棒无情拶棒！,372,411.5,41422422142214,不招认,372,374.5,实难受,377,379,无情拶棒无情拶棒！,380,411
daeh-WeiKaiYan-DouEYuan.musicxml,dan,erhuang,manban,x,为此事替婆婆认罪承当。,424,451,4344254421,为此事,424,431.5,替婆婆,433,435.5,认罪承当。,436,451
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,s1,无端巧计将人陷，,36,93,2134124,无端,36,41,巧计,44,53.25,将人陷，,68,93
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,x,薄命自伤怨红颜。,112,149,2441422,薄命,112,119.25,自伤,121,123,怨红颜。,124,149
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,s1,独处闺房愁无限，,164,204.5,2312224,独处,164,169,闺房,172,181.25,愁无限，,196,204.5
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,x,落得孤身病恹恹。,208,224.5,4211411,落得,208,211.25,孤身,213,215,病恹恹。,216,224.5
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,s2,今生若被郎轻贱，,228,244.5,1144214,今生,228,230,若被,233,234.5,郎轻贱，,236,244.5
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,x,满腹冤屈向谁言。,248,263.5,3411422,满腹,248,249,冤屈,250,251,向谁言。,252,263.5
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,s2,一心早想寻短见，,264,297,4133234,一心,264,266,早想,269,270.5,寻短见，,272,297
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,x,又怕丑名误流传。,332,356,4432422,又怕,332,339.25,丑名,341,343,误流传。,344,356
daeh-XiaoNuCai-SanNiangJiaoZi.xml,dan,erhuang,yuanban,s1,小奴才他一言问住我，,0,13,322142443,小奴才,0,2,他一言,4,8,问住我，,9,13
daeh-XiaoNuCai-SanNiangJiaoZi.xml,dan,erhuang,yuanban,x,闭口无言王春娥。,15,21,4322212,闭口,15,15.75,无言,16,16.75,王春娥。,17,21
daeh-XiaoNuCai-SanNiangJiaoZi.xml,dan,erhuang,yuanban,s2,哭一声亡故夫在阴曹等我，,23,31,14124141233,哭一声,23,24.5,亡故夫在,25.5,26.75,阴曹等我，,27,31
daeh-XiaoNuCai-SanNiangJiaoZi.xml,dan,erhuang,yuanban,x,等候了你妻子同见阎罗。,33,41,3433132422,等候了,33,34.5,你妻子,35.5,36.75,同见阎罗。,37,41
daeh-XiaoNuCai-SanNiangJiaoZi.xml,dan,erhuang,yuanban,s2,怒气不息在机房闷坐，,43,55,444141244,怒气,43,44.5,不息在,45.5,46.75,机房闷坐，,47,55
daeh-XiaoNuCai-SanNiangJiaoZi.xml,dan,erhuang,yuanban,x,叹一声不由人珠泪如梭。,56,74,4414221421,叹一声,56,59.5,不由人,60.5,61.75,珠泪如梭。,62,74
daeh-YangYuHuan-TaiZheWaiZhuan.musicxml,dan,erhuang,kuaisanyan,s2,杨玉环在殿前深深拜定，,4,20,2424421144,杨玉环,4,6,在殿前,9,11.5,深深拜定，,12,20
daeh-YangYuHuan-TaiZheWaiZhuan.musicxml,dan,erhuang,kuaisanyan,x,秉虔诚一件件祝告双星，,24,40,3222444411,秉虔诚,24,27,一件件,29,31,祝告双星，,32,40
daeh-YangYuHuan-TaiZheWaiZhuan.musicxml,dan,erhuang,kuaisanyan,s2,一愿那钗与盒情缘永订；,44,60,1441322234,一愿那,44,46,钗与盒,49,50.5,情缘永订；,52,60
daeh-YangYuHuan-TaiZheWaiZhuan.musicxml,dan,erhuang,kuaisanyan,x,二愿那仁德君福寿康宁；,64,80,4442212412,二愿那,64,66,仁德君,69,71,福寿康宁；,72,80
daeh-YangYuHuan-TaiZheWaiZhuan.musicxml,dan,erhuang,kuaisanyan,s2,三愿那海宇清四方平靖；,84,100,1442314124,三愿那,84,86,海宇清,89,91.5,四方平靖；,92,100
daeh-YangYuHuan-TaiZheWaiZhuan.musicxml,dan,erhuang,kuaisanyan,x,四愿那七巧缕乞天孙支机石上今夜里借与奴身，,104,134,44413331111241434321,四愿那,104,106,七巧缕乞天孙支机石上今夜里,108,123.5,借与奴身， ,124,134
daeh-YangYuHuan-TaiZheWaiZhuan.musicxml,dan,erhuang,kuaisanyan,s2,叩罢头将身起清光泻影，,136,162,4421131143,叩罢头,136,138,将身起,141,143.5,清光泻影，,144,162
daeh-YangYuHuan-TaiZheWaiZhuan.musicxml,dan,erhuang,yaoban,x,叫宫娥将金盆捧到庭心。,177,193,4121123421,叫宫娥,177,180.5,将金盆,181,183,捧到庭心,184,193
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,manban,s1,一霎时把七情俱已昧尽，,36,83.75,2423124344,一霎时,36,41,把七情,44,53,俱已昧尽，,68,83.75
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,manban,x,参透了酸辛处泪湿衣襟。,84,117,1431144111,参透了,84,86625,酸辛处,89,91.25,泪湿衣襟。,92,117
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,s1,我只道铁富贵一生铸定，,132,173,2343444144,我只道,132,137,铁富贵,140,150,一生铸定，,164,173
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,x,又谁知人生数倾刻分明。,176,192.5,4212143412,又谁知,176,179,人生数,181,183,倾刻分明。,184,192.5
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,s2,想当年我也曾撒娇使性，,196,213,3122321134,想当年,196,198.5,我也曾,201,203,撒娇使性，,204,213
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,x,到今朝那怕我不信前尘。,216,233,4113432422,到今朝,216,218,那怕我,221,223.5,不信前尘。,224,233
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,s2,这也是老天爷一番教训，,236,253,4343124144,这也是,236,238,老天爷,241,243.5,一番教训，,244,253
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,x,他教我收余恨免娇嗔且自新改性情休恋逝水苦海回身早悟兰因。,256,293,143124311341342144323213421,他教我,256,259,收余恨免娇嗔且自新改性情休恋逝水苦海回身,260,283,早悟兰因。,284,293
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,s2,可怜我平地里遭此贫困遭此贫困，,296,324,32324313241324,可怜我,296,298,平地里,301,303,遭此贫困遭此贫困，,304,324
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,k,我的儿啊！,326,366,3525,我的儿啊！,326,366,,,,,,
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,x,把麟儿误作了自己的宁馨。,380,405,32544543321,把麟儿,380,387,误作了,389,390.5,自己的宁馨。,392,405
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,s2,忆当年出嫁时娘把囊赠，,428,457,4121422324,忆当年,428,434,出嫁时,436,446,娘把囊赠，,448,457
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,x,宜男梦在囊上绣个麒麟。,460,477.5,2244244422,宜男梦,460,462.5,在囊上,465,467.5,绣个麒麟。,468,477.5
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,s2,到如今囊赠人娘又丧命，,480,497,4212422444,到如今,480,482,囊赠人,485,487,娘又丧命，,488,497
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,k,亲娘丧命儿的娘啊！,500,530,12442325,亲娘丧命儿的娘啊！,500,530,,,,,,
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,x,公子醒我侍奉且莫高声。,544,590,1333443411,公子醒,544,551,我侍奉,553,554.5,且莫高声。,556,590
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,s2,公子命敢不遵把朱楼来进。,604,666,13434131224,公子命,604,608,敢不遵,612,626,把朱楼来进。,627,666
daeh-YiShaShi-SuoLingNang.musicxml,dan,erhuang,kuaisanyan,x,我只得放大胆四下找寻。,680,722,2324434432,我只得,680,688,放大胆,689,691.5,四下找寻。,692,722
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s1,遭不幸老王爷晏了御驾，,10,51,1243224344,遭不幸,10,14,老王爷,18,27,晏了御驾，,42,51
